DATETIMEDATA,O3,WS,TEMP,RH,WD,prediction_label
2024-02-29 09:00:00,18.0,1,28,76,108,14.391999626159668
2024-03-31 09:00:00,17.0,1,28,76,106,15.909999809265138
2024-04-30 09:00:00,18.0,0,28,76,104,14.190999860763549
2024-05-31 09:00:00,18.0,1,28,74,96,14.018000049591064
2024-06-30 09:00:00,17.0,1,27,78,94,14.399999618530273
2024-07-31 09:00:00,18.0,1,27,78,102,13.305999851226806
2024-08-31 09:00:00,15.0,0,27,78,102,13.418999948501586
2024-09-30 09:00:00,14.0,1,28,76,96,14.149000034332275
2024-10-31 09:00:00,18.0,1,29,71,112,18.977999897003173
2024-11-30 09:00:00,22.0,1,31,57,136,13.910999879837036
2024-12-31 09:00:00,22.0,1,32,55,147,14.420999650955201
2025-01-31 09:00:00,24.0,2,32,55,139,14.61899977684021
2025-02-28 09:00:00,23.0,1,33,52,155,12.025000066757203
2025-03-31 09:00:00,20.0,1,33,57,169,12.410999698638916
2025-04-30 09:00:00,19.0,1,31,60,157,11.33700005531311
2025-05-31 09:00:00,18.0,1,31,60,177,10.724999952316285
2025-06-30 09:00:00,15.0,1,30,65,144,13.424999809265136
2025-07-31 09:00:00,18.0,1,29,69,126,14.1820001411438
2025-08-31 09:00:00,17.0,1,29,74,119,17.123999881744385
2025-09-30 09:00:00,17.0,1,28,77,110,16.432999458312988
2025-10-31 09:00:00,26.0,1,28,78,112,19.73599937438965
2025-11-30 09:00:00,26.0,1,28,78,115,19.301999797821043
2025-12-31 09:00:00,15.0,1,28,78,117,13.822999801635742
2026-01-31 09:00:00,15.0,1,28,78,111,14.724999723434449
2026-02-28 09:00:00,9.0,0,27,83,111,14.715999841690063
2026-03-31 09:00:00,7.0,0,27,85,107,14.955000133514405
2026-04-30 09:00:00,8.0,0,27,87,107,14.300000047683715
2026-05-31 09:00:00,7.0,0,27,87,107,14.902000150680543
2026-06-30 09:00:00,4.0,0,26,88,106ฟ,17.367999773025513
2026-07-31 09:00:00,3.0,0,26,89,106,17.797000007629393
2026-08-31 09:00:00,6.0,0,27,85,105,22.832999773025513
2026-09-30 09:00:00,18.0,1,29,69,112,18.191999912261963
2026-10-31 09:00:00,25.0,1,31,62,93,16.39699993133545
